id,doi,year,auteurs,title,review,keywords,text,methods,fields,remarque,,,,,,,,,,,,,,,,,,,,,
85,10.1108/JCM-04-2021-4597,2022,"Azimi, Shabnam; Chan, Kwong; Krasnikov, Alexander",How fakes make it through: the role of review features versus consumer characteristics,Journal of Consumer Marketing,"Online review, Fake review, Deception detection, Authenticity, Negative review","This study aims to examine how characteristics of an online review and a consumer reading the review influence the probability that the consumer will assess the review as authentic (real) or inauthentic (fake). This study further examines the specific factors that increase or decrease a consumer’s ability to detect a review’s authenticity and reasons a consumer makes these authenticity assessments. Hypothesized relationships were tested using an online experiment of over 400 respondents who collectively provided 3,224 authenticity assessments along with 3,181 written self-report reasons for assessing a review as authentic or inauthentic. The findings indicate that specific combinations of factors including review valence, length, readability, type of content and consumer personality traits and demographics lead to systematic bias in assessing review authenticity. Using qualitative analysis, this paper provided further insight into why consumers are deceived. Research. This research showed there are important differences in the way the authenticity assessment process works for positive versus negative reviews and identified factors that can make a fake review hard to spot or a real review hard to believe. This research has implications for both consumers and businesses by emphasizing areas of vulnerability for fake information and providing guidance for how to design review systems for improved veracity.  This research is one of the few works that explicates how people assess information authenticity and their consequent assessment accuracy in the context of online reviews.","logit, sentiment analysis,Readability liwc,","large sample, authenticity assessment, logit, reviews, hotels, chicago, experimentation",,,,,,,,,,,,,,,,,,,,,,
86,,2022,"Balech, Sophie; Calciu, Michel; Monnot, Julien; Benavent, Christophe","Le masque, figure polaire de la crise de la Covid-19 : une exploration par NLP du flux des conversations Twitter (février - mai 2020):",Marché et organisations,,"The Covid-19 pandemic that has hit the planet offers a spectacular case study of disaster management. In this literature, the participatory paradigm is fundamental: the mitigation of the impact of the disaster, the quality of the preparation and the resilience of the society, facilitate the reconstruction, but depend on the participation of the populations. Being able to observe and measure the state of mental health of the populations (anxiety, confidence, hopes, ...), identifying the points of controversy and the content of the discourse, remain necessary to accompany the measures intended to encourage this participation. Social media, and in particular Twitter, offer valuable resources to explore this discourse. The main result is based on the identification of the centrality of the mask figure and aims at establishing the importance of the phenomenon. We show this in a quantitative way, and explore the concept through NLP methods. The background is a major change in the understanding of the crisis. If, at the beginning of the cycle, it is perceived in an exotic way, it then becomes endemic to the social body. We exploit here a database of 2.1 million tweets extracted from a corpus of 110 million, elaborated by an international information science team and dealing with variants of #Covid-19, #coronavirus, etc.:","STM, semantic network, syntaxic dependence,","very large sample, covid, twitter",,,,,,,,,,,,,,,,,,,,,,
87,https://doi.org/10.1007/s11002-022-09635-6,2022,"Berger, Jonah; Packard, Grant; Boghrati, Reihane; Hsu, Ming; Humphreys, Ashlee; Luangrath, Andrea; Moore, Sarah; Nave, Gideon; Olivola, Christopher; Rocklage, Matthew",Marketing insights from text analysis,Marketing Letters,"Natural language processing ,Automated textual analysis , Language","Language is an integral part of marketing. Consumers share word of mouth, salespeople pitch services, and advertisements try to persuade. Further, small differences in wording can have a big impact. But while it is clear that language is both frequent and important, how can we extract insight from this new form of data? This paper provides an introduction to the main approaches to automated textual analysis and how researchers can use them to extract marketing insight. We provide a brief summary of dictionaries, topic modeling, and embeddings, some examples of how each approach can be used, and some advantages and limitations inherent to each method. Further, we outline how these approaches can be used both in empirical analysis of field data as well as experiments. Finally, an appendix provides links to relevant tools and readings to help interested readers learn more. By introducing more researchers to these valuable and accessible tools, we hope to encourage their adoption in a wide variety of areas of research.",literature review,literature review,,,,,,,,,,,,,,,,,,,,,,
88,,2022,"Birim, Şule Öztürk; Kazancoglu, Ipek; Kumar Mangla, Sachin; Kahraman, Aysun; Kumar, Satish; Kazancoglu, Yigit",Detecting fake reviews through topic modelling,Journal of Business Research,"Machine learning techniques,Fake online reviews,Natural language processing (NLP),Online retailing,Purchasing decision","Against the uncertainty caused by the information overload in the online world, consumers can benefit greatly by reading online product reviews before making their online purchases. However, some of the reviews are written deceptively to manipulate purchasing decisions. The purpose of present study is to determine which feature combination is most effective in fake review detection among the features of sentiment scores, topic distributions, cluster distributions and bag of words. In this study, additional feature combinations to a sentiment analysis are searched to examine the critical problem of fake reviews made to influence the decision-making process using review from amazon.com dataset. Results of the study points that behavior-related features play an important role in fake review classifications when jointly used with text-related features. Verified purchase is the only behavior related feature used comparatively with other text-related features.",,,,,,,,,,,,,,,,,,,,,,,,
89,,2022,"Boegershausen, Johannes; Datta, Hannes; Borah, Abhishek; Stephen, Andrew T.",Fields of Gold: Scraping Web Data for Marketing Insights,Journal of Marketing,"web scraping, application programming interface, API, research method, crawling, validity, web data, user-generated content, online reviews, social media, seeding, big data","Marketing scholars increasingly use web scraping and Application Programming Interfaces (APIs) to collect data from the internet. Yet, despite the widespread use of such web data, the idiosyncratic and sometimes insidious challenges in its collection have received limited attention. How can researchers ensure that the datasets generated via web scraping and APIs are valid? While existing resources emphasize technical details of extracting web data, the authors propose a novel methodological framework focused on enhancing its validity. In particular, the framework highlights how addressing validity concerns requires the joint consideration of idiosyncratic technical and legal/ethical questions along the three stages of collecting web data: selecting data sources, designing the data collection, and extracting the data. The authors further review more than 300 articles using web data published in the top five marketing journals and offer a typology of how web data has advanced marketing thought. The article concludes with directions for future research to identify promising web data sources and to embrace novel approaches for using web data to capture and describe evolving marketplace realities.",Api,literature review,,,,,,,,,,,,,,,,,,,,,,
90,,2022,"Carlson, Keith; Kopalle, Praveen K.; Riddell, Allen; Rockmore, Daniel; Vana, Prasad",Complementing human effort in online reviews: A deep learning approach to automatic content generation and review synthesis,International Journal of Research in Marketing,"Online reviews, Artificial intelligence, Machine learning, Wine reviews, Review synthesis Automation, Deep learning","Online product reviews are ubiquitous and helpful sources of information available to consumers for making purchase decisions. Consumers rely on both the quantitative aspects of reviews such as valence and volume as well as textual descriptions to learn about product quality and fit. In this paper we show how new achievements in natural language processing can provide an important assist for different kinds of review-related writing tasks. Working in the interesting context of wine reviews, we demonstrate that machines are capable of performing the critical marketing task of writing expert reviews directly from a fairly small amount of product attribute data (metadata). We conduct a kind of “Turing Test” to evaluate human response to our machine-written reviews and show strong support for the assertion that machines can write reviews that are indistinguishable from those written by experts. Rather than replacing the human review writer, we envision a workflow wherein machines take the metadata as inputs and generate a human readable review as a first draft of the review and thereby assist an expert reviewer in writing their review. We next modify and apply our machine-writing technology to show how machines can be used to write a synthesis of a set of product reviews. For this last application we work in the context of beer reviews (for which there is a large set of available reviews for each of a large number of products) and produce machine-written review syntheses that do a good job – measured again through human evaluation – of capturing the ideas expressed in the reviews of any given beer. For each of these applications, we adapt the Transformer neural net architecture. The work herein is broadly applicable in marketing, particularly in the context of online reviews. We close with suggestions for additional applications of our model and approach as well as other directions for future research.","ML, generative NLP",,,,,,,,,,,,,,,,,,,,,,,
91,,2022,"Chakraborty, Aindrila; Shankar, Ramesh; Marsden, James R.",An empirical analysis of consumer-unfriendly E-commerce terms of service agreements: Implications for customer satisfaction and business survival,Electronic Commerce Research and Applications,"Terms of Service (ToS),ToS strictness,User agreements,Text mining,Business,Customer satisfaction,Firm survival,Mediation analysis","E-business user agreements are seldom read but almost always accepted by users. We present an in-depth analysis of e-user agreement issues using textual data on Terms of Service (ToS) agreements from more than 250 e-commerce companies. Our text mining analysis identifies several terms in ToS that pose significant risks to consumers. We propose a prototype text mining process that scans ToS agreements on behalf of consumers and assigns an overall severity score based on the potential threats. We supplement this with Latent Semantic Analysis (LSA) for topic modeling in our corpus of ToS documents, to identify user-unfriendly clauses from ToS documents. Next, our empirical analysis reveals three novel findings. First, the presence of hostile clauses in ToS negatively impacts customer satisfaction but is associated with higher survival of firms. Second, firms with higher market share prefer less consumer-unfriendly terms in their ToS. Third, the impact of market share on firm performance is partially mediated by ToS severity. Overall, this study analyzes the linkage between market share, ToS severity, and firm performance, and provides significant insights on ToS policies to IS scholars, legal experts, and firms.",LSA,e-commerce,,,,,,,,,,,,,,,,,,,,,,
92,,2022,"Chung, Jaeyeon (Jae); Johar, Gita Venkataramani; Li, Yanyan; Netzer, Oded; Pearson, Matthew",Mining Consumer Minds: Downstream Consequences of Host Motivations for Home-Sharing Platforms,Journal of Consumer Research,"motivation, sharing economy, text mining, customer engagement, customer lifetime value, Airbnb","This research sheds light on consumer motivations for participating in the sharing economy and examines downstream consequences of the uncovered motivations. We use text-mining techniques to extract Airbnb hosts’ motivations from their responses to the question “why did you start hosting.” We find that hosts are driven not only by the monetary motivation “to earn cash” but also by intrinsic motivations such as “to share beauty” and “to meet people.” Using extensive transaction-level data, we find that hosts with intrinsic motivations post more property photos and write longer property descriptions, demonstrating greater engagement with the platform. Consequently, these hosts receive higher guest satisfaction ratings. Compared to hosts who want to earn cash, hosts motivated to meet people are more likely to keep hosting and to stay active on the platform, and hosts motivated to share beauty charge higher prices. As a result, these intrinsically motivated hosts have a higher customer lifetime value compared to those with a monetary motivation. We employ a multimethod approach including text mining, Bayesian latent attrition models, and lab experiments to derive these insights. Our research provides an easy-to-implement approach to uncovering consumer motivations in practice and highlights the consequential role of these motivations for firms.",,Airbnb,,,,,,,,,,,,,,,,,,,,,,
93,10.1007/s11135-022-01460-3,2022,"D’Uggento, Angela Maria; Biafora, Albino; Manca, Fabio; Marin, Claudia; Bilancia, Massimo",A text data mining approach to the study of emotions triggered by new advertising formats during the COVID-19 pandemic,Quality & Quantity,"COVID-19 pandemic ·,Twitter  ,TV spots ,Text mining , Mixture of Unigrams","Under the influence of the health emergency triggered by the COVID-19 pandemic, many brands changed their communication strategy and included more or less explicit references to the principles of solidarity and fraternity in their TV commercials to boost the confidence and hope of Italian families during the lockdown. The traditional attitudes of the advertising format, which focused on product characteristics, were relegated to the background in order to reinforce the “brand image” through words, signs, hashtags and music that spread empathetic messages to all those who needed to regain hope and trust in a time of extreme emotional fragility. The objective of this paper is to identify the emotions and brand awareness during the lockdown using text mining techniques by measuring customer sentiment expressed on the Twitter social network. Our proposal starts from an unstructured corpus of 20,982 tweets processed with text data mining techniques to identify patterns and trends in people’s posts related to specific hashtags and TV ads produced during the COVID-19 pandemic. The innovations in the brand’s advertising among consumers seem to have triggered some sense of appreciation and gratitude, as well as a strong sense of belonging that was not present before, as the TV ads were perceived as a disruptive element in consumers’ tweets. Although this effect is clearly documented, in this paper we demonstrate its transitory nature, in the sense that the frequency of occurrence of terms associated with an emotional dimension peaks during the weeks of lockdown, and then gradually decreases.",unigram distribution,"large, twitter, ads",,,,,,,,,,,,,,,,,,,,,,
94,,2022,"Donthu, Naveen; Lim, Weng Marc; Kumar, Satish; Pattnaik, Debidutta",The  Journal of Advertising ’s Production and Dissemination of Advertising Knowledge: A 50th Anniversary Commemorative Review,Journal of Advertising," advertising, bibliometrics, performance analysis, co-word analysis, network analysis, retrospective, Journal of Advertising, Journal of Advertising Research, International Journal of Advertising, Journal of Current Issues and Research in Advertising.","The Journal of Advertising (JA) is a leading journal devoted to the development of advertising theory and practice. In celebration of JA’s 50th anniversary, this article presents an in-depth retrospective of the journal and compares it with the other leading advertising journals, such as Journal of Advertising Research (JAR), International Journal of Advertising (IJA), and Journal of Current Issues and Research in Advertising (JCIRA). To do so, this article conducts a bibliometric review using performance analysis and natural language processing (NLP) as a means for co-word analysis on bibliometric information retrieved from Scopus. Using performance analysis, this article demonstrates that JA is the leading advertising journal in terms of research influence (h-index) and impact (g-index) as the journal receives the highest average and total citations despite publishing 11% less than its closest peers (JAR and IJA). Using NLP as a means for co-word analysis, this article reveals eight clusters or themes (1972–2020) that avail in JA’s body of knowledge (i.e., advertising appeals, advertising involvement, advertising credibility, advertising brands, advertising impact, advertising modeling and strategies, advertising communication and engagement, and advertising responses), as well as nine clusters or themes (2000–2020) that reflect the four leading advertising journals’ collective contributions to the body of advertising knowledge (i.e., community advertising, responsible advertising, digital and social media advertising, product placement advertising, advertising impact, advertising credibility and persuasiveness, gamification and signaling in advertising, sponsorship advertising, and attitudes toward advertising). The article concludes with key takeaways and suggestions for prospective authors interested to publish in JA.",litterature review,,,,,,,,,,,,,,,,,,,,,,,
95,10.1007/s10660-022-09534-y,2022,"He, Zhen; Zheng, Lu; He, Shuguang",A novel approach for product competitive analysis based on online reviews,Electronic Commerce Research,"Competitive analysis ,Text analysis ,Latent dirichlet allocation ,Sentiment analysis, K-shell decomposition","Recently, online reviews have become a prevalent information source for competitive analysis because they provide rich information on the voices of customers. Based on online reviews, we propose a novel method named Integrated-Degree based K-shell decomposition (ID-KS) to conduct competitive analysis via product comparison networks. Under the consideration of feature differences among products, we apply text-mining approaches and ID-KS to convert online reviews into competitive insights including competitor identification, product comparison, product ranking, brand comparison and market-structure analysis. To validate the feasibility and the effectiveness of ID-KS, we demonstrate our approach in two cases, SUV cars and laptops, and compare it with state-of-the-art methods. The results show that ID-KS analyzes product comparison networks more effectively and properly, and it derives comprehensive comparative insights that are not fully captured by existing studies.","topic modeling, Sentiment Analysis, k-shell decomposition","large sample, reviews, car, laptop",,,,,,,,,,,,,,,,,,,,,,
96,,2022,"Ho, Chaang-Iuan; Chen, Ming-Chih; Shih, Ya-Wei",Customer engagement behaviours in a social media context revisited: using both the formative measurement model and text mining techniques,Journal of Marketing Management,"Customer engagement,social media-based customer, engagement behaviours,formative measurement model,second-order formative construct,social media-based marketing,Facebook fan page","Most research in the field of customer engagement employs multi-item measures that are comceptualised as three-dimensional and reflective models. This leaves room to suggest an alternative approach for defining and operationalising the construct. From a behavioural standpoint, we propose a higher-order formative measurement model (FMM) underlying customer engagement behaviours (CEBs) in the context of Facebook fan pages. Data from 259 restaurant customers show that the FMM works well, both theoretically and empirically, and that CEBs include eight dimensions and 16 indices. We also apply text mining (TM) techniques to analyse customers’ Facebook posts. The findings indicate that some dimensions identified by the FMM could not be extracted using TM, and the TM analysis provided clues regarding the FMM indices; the two approaches complement rather than compete with each other. These results serve as a basis for scale development in future research, and provide guidelines for managers to enhance long-term customer relationships.",text mining,"facebook, hospitality",,,,,,,,,,,,,,,,,,,,,,
97,10.1016/j.ijresmar.2021.11.002,2022,"Kopalle, Praveen K.; Gangwar, Manish; Kaplan, Andreas; Ramachandran, Divya; Reinartz, Werner; Rindfleisch, Aric",Examining artificial intelligence (AI) technologies in marketing via a global lens: Current trends and future research opportunities,International Journal of Research in Marketing,"Artificial intelligence,Global marketing,Inequality,Glocalization,Ethics and privacy,Human–machine interaction,Automated analysis of text,Audio,Images,Video","Artificial intelligence (AI) has captured substantial interest from a wide array of marketing scholars in recent years. Our research contributes to this emerging domain by examining AI technologies in marketing via a global lens. Specifically, our lens focuses on three levels of analysis: country, company, and consumer. Our country-level analysis emphasizes the heterogeneity in economic inequality across countries due to the considerable economic resources necessary for AI adoption. Our company-level analysis focuses on glocalization because while the hardware that underlies these technologies may be global in nature, their application necessitates adaptation to local cultures. Our consumer-level analysis examines consumer ethics and privacy concerns, as AI technologies often collect, store and process a cornucopia of personal data across our globe. Through the prism of these three lenses, we focus on two important dimensions of AI technologies in marketing: (1) human–machine interaction and (2) automated analysis of text, audio, images, and video. We then explore the interaction between these two key dimensions of AI across our three-part global lens to develop a set of research questions for future marketing scholarship in this increasingly important domain.","IA, NLP",literature review,,,,,,,,,,,,,,,,,,,,,,
98,,2022,"Kumar, Bipul; Sharma, Arun",Examining the research on social media in business-to-business marketing with a focus on sales and the selling process,Industrial Marketing Management,"literature review, ","Social media and its impact on business-to-business marketing have received significant attention from practitioners and researchers. Social media has also impacted the selling process, and our research examines the extant literature to derive a deeper understanding of the area and identify directions for future research. This study reviews 115 articles on social media in business-to-business markets to understand sales and social media research within the social media domain. Using a multimethod approach, this paper classifies social media research in business-to-business marketing into four subject clusters: adoption of social media; use of social media in business-to-business marketing; social media and the selling process; and social media and marketing strategy. This study then reviews 29 articles in sales and social media research and finds that the research can be classified into usage, performance, and framework. Due to the limited research on business-to-business sales and social media, we also report on a survey that examined directions for future research. We hope that this article serves as an impetus for future research in this area.","text mining, literature review","social media, B2B, sales",,,,,,,,,,,,,,,,,,,,,,
99,10.1093/jcr/ucab056,2022,"Lee, Jeffrey K; Junqué de Fortuny, Enric",Influencer-Generated Reference Groups,Journal of Consumer Research,"branding, influencers, Natural Language Processing, reference groups, social media, ","This article explores the idea that consumer influencers can shape reference group meanings in social media. Through a survey in which over 5,000 participants provided open-ended reference group associations for 25 major brands, the authors find that social media influencers can either strengthen or change brand reference group associations. Specifically, the typicality of the influencer (relative to a brand’s stereotypical consumer) can shape ideas about the perceived homogeneity of the brand’s consumers, which ultimately influences the strength and tightness of brand associations. This research combines seminal theories regarding cultural and sociological influences on branding, concepts relating to stereotype change, and a multi-method approach to assess new digital flows of cultural meaning from consumer influencers to brands.","Umap, embeddings",m-turk experiment,excellent à relire,,,,,,,,,,,,,,,,,,,,,excellent à relire
100,,2022,"Lutz, Bernhard; Pröllochs, Nicolas; Neumann, Dirk",Are longer reviews always more helpful? Disentangling the interplay between review length and line of argumentation,Journal of Business Research,"Consumer reviews,Argumentation patterns,Online word-of-mouth,Machine learning,Natural language processing,Data-driven decision-making","An overwhelming majority of previous works find longer product reviews to be more helpful than short reviews. In this paper, we build upon information overload theory and propose that longer reviews should not be assumed to be uniformly more helpful; instead, we argue that the effect depends on the complexity of the line of argumentation. To test this idea, we implement state-of-the-art machine learning methods that allow us to study the line of argumentation in reviews at the sentence-level. Our empirical analysis based on a dataset of Amazon customer reviews suggests that line of argumentation and review length are closely intertwined such that longer reviews with frequent changes between positive and negative arguments are perceived as less helpful. Our work has important implications for marketing professionals and retailer platforms that can utilize our results to optimize their customer feedback systems, enhance reviewer guidelines, and include more useful product reviews.",ML,Amazon,,,,,,,,,,,,,,,,,,,,,,
101,,2022,"Mariani, Marcello M.; Perez‐Vega, Rodrigo; Wirtz, Jochen","AI in marketing, consumer research and psychology: A systematic literature review and research agenda",Psychology & Marketing,"artificial intelligence, AI, big data and robots, decision making and cognitive processes, machine learning and linguistic analysis, memory and computational logic, neural networks, social media content analytics, social media and text mining, systematic literature review, technology acceptance and adoption","This study is the first to provide an integrated view on the body of knowledge of artificial intelligence (AI) published in the marketing, consumer research, and psychology literature. By leveraging a systematic literature review using a data‐driven approach and quantitative methodology (including bibliographic coupling), this study provides an overview of the emerging intellectual structure of AI research in the three bodies of literature examined. We identified eight topical clusters: (1) memory and computational logic; (2) decision making and cognitive processes; (3) neural networks; (4) machine learning and linguistic analysis; (5) social media and text mining; (6) social media content analytics; (7) technology acceptance and adoption; and (8) big data and robots. Furthermore, we identified a total of 412 theoretical lenses used in these studies with the most frequently used being: (1) the unified theory of acceptance and use of technology; (2) game theory; (3) theory of mind; (4) theory of planned behavior; (5) computational theories; (6) behavioral reasoning theory; (7) decision theories; and (8) evolutionary theory. Finally, we propose a research agenda to advance the scholarly debate on AI in the three literatures studied with an emphasis on cross‐fertilization of theories used across fields, and neglected research topics.",systematic literature review,literature review,,,,,,,,,,,,,,,,,,,,,,
102,doi.org/10.1177/14707853211040052,2022,"Marshall, Pablo",A Latent Allocation Model for Brand Awareness and Mindset Metrics,International Journal of Market Research,"latent allocation models, mindset metrics, brand awareness","Mindset metrics, the measurement of consumers’ perceptions, attitudes, and intentions, have a long tradition in marketing, particularly in advertising and branding. Some of the most usual mindset metrics are brand awareness, brand image, personality traits, and attribute importance. Brand awareness and other mindset measures have the form of texts (bag of words). And, a natural methodology for analyzing these variables is topic modeling and the popular Latent Dirichlet allocation (LDA) model. The LDA methodology assumes that brands or concepts are represented by clusters of brands in consumers’ minds. This study proposes an extension/modification of the LDA model for brand awareness and other mindset variables that incorporate Bernoulli observations instead of the Multinomial specification present in the usual LDA specification. This extension is relevant since, unlike words in texts, brands and mindset concepts are not repeated within a document and have a dichotomous form, present or absent. The proposed model is applied to two brand awareness datasets. The results show significant gains in both managerial insights in analyzing brand clusters and consumers’ profiles.","LDA, topic modeling","large sample, survey, bank, appliance",,,,,,,,,,,,,,,,,,,,,,
103,10.1007/s11002-021-09595-3,2022,"Peng, Ling; Cui, Geng; Bao, Ziru; Liu, Shuman",Speaking the same language: the power of words in crowdfunding success and failure,Marketing Letters,"Crowdfunding , Text mining , Natural language processing (NLP) ,Language expectancy theory (LET) , Promotion pitch","As crowdfunding has emerged as a popular source of funding for new ventures, budding entrepreneurs often struggle to deliver a convincing pitch to attract backers. We adopt an n-gram language model to analyze narratives of over 21,000 film projects from Kickstarter and find that the choice of words is critical to crowdfunding success. Using penalized logistic regression, we identify the relative power of phrases to predict funding outcome, resulting in a dramatic reduction in error rate. Consistent with the language expectancy theory, the linguistic analyses show that successful projects usually include words that reflect the credibility of project creators and meaningful social interactions, whereas failed projects exude negativism or uncertainty. While good word choices vary among movie genres, words of lower cognitive complexity dampen the chances of funding. These findings have broad implications for text analysis and natural language generation for persuasive marketing communications.","ngram, ML, logit model, LICW","large sample, movie project, kickstarter, cowfounding",,,,,,,,,,,,,,,,,,,,,,
104,,2022,"Riedel, Aimee; Messenger, Dana; Fleischman, David; Mulcahy, Rory",Consumers experiencing vulnerability: a state of play in the literature,Journal of Services Marketing,"well-being, social marketing, text mining, systematic review, vulnerable consumer, transformative research","The purpose of this paper is to provide a state-of-the-art review of research on consumers experiencing vulnerability to describe the current situation of the consumers experiencing vulnerability literature and develop an up-to-date synthesised definition of consumers experiencing vulnerability.This systematic review, guided by the PRISMA framework, takes a multi-disciplinary approach to identify 310 articles published between 2010 and 2019 examining consumers experiencing vulnerability. Descriptive analysis of the data is undertaken in combination with a thematic and text mining approach using Leximancer software. A definition of consumers experiencing vulnerability is developed- “unique and subjective experiences where characteristics such as states, conditions and/or external factors lead to a consumer experiencing a sense of powerlessness in consumption settings”. The findings reveal consumers experiencing vulnerability have often been classified using a uni-dimensional approach (opposed to a multi-dimensional), focussing on one factor of vulnerability, the most prevalent of these being economic and age factors. A lack of research has examined consumers experiencing vulnerability based upon geographical remoteness, gender and sexual exploitation. This paper is one of the first to examine consumers experiencing vulnerability using a systematic approach and text mining analysis to synthesise a large set of articles, which subsequently reduces the potential for researchers’ interpretative bias. Further, it is the first to generate a data-driven definition of consumers experiencing vulnerability. It provides targeted recommendations to allow further scholarly, policy and practical contributions to this area.",litterature review,,,,,,,,,,,,,,,,,,,,,,,
105,10.1016/j.jbusres.2021.12.052,2022,"Saura, Jose Ramon; Ribeiro-Soriano, Domingo; Zegarra Saldaña, Pablo",Exploring the challenges of remote work on Twitter users' sentiments: From digital technology development to a post-pandemic era,Journal of Business Research,"Remote working,Sentiment analysis, Computer-aided text analysis, Topic modeling,Twitter, UGC","The boost in the use and development of technology, spurred by COVID-19 pandemic and its consequences, has sped up the adoption of new technologies and digital platforms in companies. Specifically, companies have been forced to change their organizational and work structures. In this context, the present study aims to identify the main opportunities and challenges for remote work through the use of digital technologies and platforms based on the analysis of user-generated content (UGC) in Twitter. Using computer-aided text analysis (CATA) and natural language processing (NLP), in this study, we conduct a sentiment analysis developed with Textblob, which works with machine learning. We then apply a mathematical algorithm for topic modeling known as Latent Dirichlet allocation (LDA) model. Based on the results obtained from these data-mining techniques, we identify 11 topics, of which 3 are negative (Virtual Health, Privacy Concerns and Stress), 4 positive (Work-life balance, Less stress, Future and Engagement), and 3 neutral (New Technologies, Sustainability, and Technology Issues). In addition, we also identify and discussed 6 opportunities and 5 challenges in relation to the use and adoption of digital technologies and platforms for teleworking. Finally, theoretical and practical implications of the study are presented for companies that develop strategies based on teleworking and the adoption of new technologies in which stress management is configured as one of the most relevant indicators for further research on remote work. From the applied perspective, executives and policymakers can use the results of the present study to re-evaluate the benefits of remote work for employees.","Sentiment analysis, topic modeling, ML","very large sample, twitter ,  remote working",,,,,,,,,,,,,,,,,,,,,,
106,,2022,"Shankar, Venkatesh; Parsana, Sohil",An overview and empirical comparison of natural language processing (NLP) models and an introduction to and empirical application of autoencoder models in marketing,Journal of the Academy of Marketing Science,"Artificial intelligence, Autoencoder, Machine learning, Marketing, Natural language processing (NLP), Text analysis, Text mining, Topic modeling , Unstructured data","With artificial intelligence permeating conversations and marketing interactions through digital technologies and media, machine learning models, in particular, natural language processing (NLP) models, have surged in popularity for analyzing unstructured data in marketing. Yet, we do not fully understand which NLP models are appropriate for which marketing applications and what insights can be best derived from them. We review different NLP models and their applications in marketing. We layout the advantages and disadvantages of these models and highlight the conditions under which different models are appropriate in the marketing context. We introduce the latest neural autoencoder NLP models, demonstrate these models to analyze new product announcements and news articles, and provide an empirical comparison of the different autoencoder models along with the statistical NLP models. We discuss the insights from the comparison and offer guidelines for researchers. We outline future extensions of NLP models in marketing","CATAC, NLP,  topic modeling , NLTK",,,,,,,,,,,,,,,,,,,,,,,
107,,2022,"Shi, Zijun (June); Liu, Xiao; Srinivasan, Kannan",Hype News Diffusion and Risk of Misinformation: The Oz Effect in Health Care,Journal of Marketing Research,"hype news, Oz Effect, health care, misinformation, natural language processing","Consumers’ choices about health products are heavily influenced by public information, such as news articles, research articles, online customer reviews, online product discussion, and TV shows. Dr. Oz, a celebrity physician, often makes medical recommendations with limited or marginal scientific evidence. Although reputable news agencies have traditionally acted as gatekeepers of reliable information, they face the intense pressure of “the eyeball game.” Customer reviews, despite their authenticity, may come from deceived consumers. Therefore, it remains unclear whether public information sources can correct the misleading health information. In the context of over-the-counter weight loss products, the authors carefully analyze the cascading of information post endorsement. The analysis of extensive textual content with deep-learning methods reveals that legitimate news outlets respond to Dr. Oz's endorsement by generating more news articles about the ingredient; on average, articles after the endorsement contain higher sentiment, so news agencies seem to amplify rather than rectify the misleading endorsement. The finding highlights a serious concern: the risk of hype news diffusion. Research articles react too slowly to mitigate the problem, and online customer reviews and product discussions provide only marginal corrections. The findings underscore the importance of oversight to mitigate the risk of cascading hype news.",deep learning,health,,,,,,,,,,,,,,,,,,,,,,
108,,2022,"Shumanov, Michael; Cooper, Holly; Ewing, Mike",Using AI predicted personality to enhance advertising effectiveness,European Journal of Marketing,"Personality, Advertising, AI, ML, Personality traits","The purpose of this study is twofold: first to demonstrate the application of an algorithm using contextual data to ascertain consumer personality traits; and second to explore the factors impacting the relationship between personality traits and advertisement persuasiveness. A mixed-method approach that comprises two distinct yet complementary studies. The first uses quantitative methods and is based on a sample of 35,264 retail banking customers. Study 2 explores the findings that emerge from Study 1 using qualitative methods.This paper finds that matching consumer personality with congruent advertising messages can lead to more effective consumer persuasion for most personality types. For consumers who exhibit neurotic personality traits, ameliorating perceived risks during purchasing and providing cues for social acceptance and goal attainment are important factors for advertising effectiveness. These factors also had a positive impact on the purchasing behaviour of extroverted consumers. This research focusses on understanding purchasing behaviour based on the most dominant personality trait. However, people are likely to exhibit a combination of most or even all of the Big Five personality traits. Building on advances in natural language processing, enabling the identification of personality from language, this study demonstrates the possibility of influencing consumer behaviour by matching machine inferred personality to congruent persuasive advertising. It is one of the few studies to use contextual instead of social media data to capture individual personality. Such data serves to capture an authentic rather than contrived persona. Further, the study identifies the factors that may moderate this relationship and thereby provides an explanation of why some personality traits exhibit differences in purchasing behaviour from those that are anticipated by existing theory. Although the idea that people are more likely to be responsive to advertising messages that are congruent with their personality type has already been successfully applied by advertising practitioners and documented by advertising scholars, this study extends existing research by identifying the factors that may moderate this relationship and thereby provides an explanation why some personality traits may exhibit differences in purchasing behaviour from those that are anticipated by existing theory.",ML,banking,,,,,,,,,,,,,,,,,,,,,,
